White Fang,Jack London,1906
The Wind in the Willows,Kenneth Grahame,1908
Moby Dick,Herman Melville,1851
Jane Eyre,Charlotte Bronte,1847
The Picture of Dorian Gray,Oscar Wilde,1890
The Three Musketeers,Alexandre Dumas,1844
Persuasion,Jane Austen,1817
Dream of the Red Chamber,Cao Xueqin,1791
Little Women,Louisa May Alcott,1868
The Phantom of the Opera,Gaston Leroux,1909
Water Margin,Shi Naian,1450
A Christmas Carol,Charles Dickens,1843
One Hundred Years of Solitude,Gabriel Garcia Marquez,1967
Nineteen Eighty-Four,George Orwell,1949
Journey to the West,Wu Chengen,1592
Romance of the Three Kingdoms,Luo Guanzhong,1522
Fahrenheit 451,Ray Bradbury,1953
War and Peace,Leo Tolstoy,1867
