ATHLETE,COUNTRY,TIMING
Abdi ABDIRAHMAN,USA,2:18:27
Abdi NAGEEYE,NED,2:09:58
Adam NOWICKI,POL,2:17:19
Adbi Hakin ULAD,DEN,2:15:50
Alemu BEKELE,BRN,DNF
Alphonce Felix SIMBU,TAN,2:11:35
Amanal PETROS,GER,2:16:33
Amos KIPRUTO,KEN,DNF
Arkadiusz GARDZIELEWSKI,POL,2:22:50
Ayad LAMDASSEM,ESP,2:10:16
Bart VAN NUNEN,NED,DNF
Bashir ABDI,BEL,2:10:00
Ben CONNOR,GBR,DNF
Ben PREISNER,CAN,2:19:27
Bohdan-Ivan HORODYSKYY,UKR,DNF
Brett ROBINSON,AUS,2:24:04
Byambajav TSEVEENRAVDAN,MGL,2:21:32
Callum HAWKINS,GBR,DNF
Cameron LEVINS,CAN,2:28:43
Chris THOMPSON,GBR,2:21:29
Christian PACHECO,PER,2:22:12
Daniel Chaves DA SILVA,BRA,DNF
Daniel DO NASCIMENTO,BRA,DNF
Daniel MATEO,ESP,2:15:21
Derlys AYALA,PAR,2:18:34
Dieter KERSTEN,BEL,2:22:06
El Hassan EL ABBASSI,BRN,2:15:56
Eliud KIPCHOGE,KEN,2:08:38
Elroy GELANT,RSA,2:16:43
Eulalio MUNOZ,ARG,2:16:35
Eyob GHEBREHIWET FANIEL,ITA,2:15:11
Felix CHEMONGES,UGA,2:20:53
Fred MUSOBO,UGA,2:18:39
Gabriel Gerald GEAY,TAN,DNF
Galen RUPP,USA,2:11:41
Girmaw AMARE,ISR,2:16:17
Goitom KIFLE,ERI,2:13:22
Guojian DONG,CHN,2:21:35
Haimro ALMAYA,ISR,2:17:17
Hamza SAHLI,MAR,2:14:48
Hassan CHAHDI,FRA,2:18:40
Hendrik PFEIFFER,GER,2:20:43
Ivan Dario GONZALEZ,COL,DNF
Ivan ZARCO,HON,2:44:36
Jack RAYNER,AUS,DNF
Jacob RILEY,USA,2:16:26
Javier GUERRA,ESP,2:16:42
Jeison Alexander SUAREZ,COL,2:13:29
Jesus Arturo ESPARZA,MEX,2:31:51
Jianhua PENG,CHN,2:16:39
Joaquin ARBE,ARG,2:21:15
John HAKIZIMANA,RWA,DNF
Joohan OH,KOR,DNF
Jorge CASTELBLANCO,PAN,2:33:22
Jose Luis SANTANA MARIN,MEX,2:21:32
Juan PACHECO,MEX,2:23:41
Jungsub SHIM,KOR,2:20:36
Kevin SEAWARD,IRL,2:21:45
Khalid CHOUKOUD,NED,DNF
Khoarahlane SEUTLOALI,LES,2:25:03
Koen NAERT,BEL,2:12:13
Lawrence CHERONO,KEN,2:10:02
Lelisa DESISA,ETH,DNF
Lemawork KETEMA,AUT,DNF
Liam ADAMS,AUS,2:15:51
Malcolm HICKS,NZL,2:23:12
Marcin CHABOWSKI,POL,DNF
Maru TEFERI,ISR,2:13:02
Mohamed Reda EL AARABY,MAR,2:12:22
Morhad AMDOUNI,FRA,2:14:33
Mykola NYZHNYK,UKR,DNF
Nicolas NAVARRO,FRA,2:12:50
Oleksandr SITKOVSKIY,UKR,DNF
Olivier IRABARUTA,BDI,2:17:44
Oqbe Kibrom RUESOM,ERI,2:16:57
Othmane EL GOUMRI,MAR,2:11:58
Paul POLLOCK,IRL,2:27:48
Paulo Roberto DE ALMEIDA PAULA,BRA,2:26:08
Peter HERZOG,AUT,2:22:15
Pheeha MOKGOBO,RSA,DNF
Polat Kemboi ARIKAN,TUR,DNF
Richard RINGER,GER,2:16:08
Roman FOSTI,EST,2:25:37
Ser-Od BAT-OCHIR,MGL,DNF
Shaohui YANG,CHN,2:14:58
Shogo NAKAMURA,JPN,2:22:23
Shumi DECHASA,BRN,DNF
Shura KITATA,ETH,DNF
Sisay LEMMA,ETH,DNF
Sondre Nordstad MOEN,NOR,2:17:59
Stephen KIPROTICH,UGA,DNF
Stephen MOKOKA,RSA,DNF
Stephen SCULLION,IRL,DNF
Suguru OSAKO,JPN,2:10:41
Tachlowini GABRIYESOS,ART,2:14:02
Tadesse ABRAHAM,SUI,DNF
Thijs NIJHUIS,DEN,2:26:59
Tiidrek NURME,EST,2:16:16
Tomas Hilifa RAINHOLD,NAM,2:18:28
Trevor HOFBAUER,CAN,2:19:57
Yassine EL FATHAOUI,ITA,2:19:44
Yassine RACHIK,ITA,DNF
Yavuz AGRALI,TUR,2:21:00
Yohanes GHEBREGERGIS,ERI,2:15:34
Yuma HATTORI,JPN,2:30:08
Zane ROBERTSON,NZL,2:17:04
